Motif	Factor	Evidence	Curated
Rel_M5476_1.01	NFATC1	ChIP-seq	Y
Rel_M5476_1.01	NFATC2	ChIP-seq	Y
Rel_M5476_1.01	NFATC3	ChIP-seq	Y
Rel_M5476_1.01	NFATC4	ChIP-seq	Y
SMAD_Average_3	NFIA	ChIP-seq	Y
SMAD_Average_3	NFIB	ChIP-seq	Y
SMAD_Average_3	NFIC	ChIP-seq	Y
SMAD_Average_3	NFIX	ChIP-seq	Y
Homeodomain_POU_Average_32	POU2F1	ChIP-seq	Y
Homeodomain_POU_Average_32	POU3F1	ChIP-seq	Y
Homeodomain_POU_Average_32	POU3F2	ChIP-seq	Y
Homeodomain_POU_Average_32	POU3F4	ChIP-seq	Y
Homeodomain_POU_Average_43	POU1F1	ChIP-seq	Y
Homeodomain_POU_Average_43	POU2F1	ChIP-seq	Y
Homeodomain_POU_Average_43	POU2F2	ChIP-seq	Y
Homeodomain_POU_Average_43	POU2F3	ChIP-seq	Y
Homeodomain_POU_Average_43	POU3F1	ChIP-seq	Y
Homeodomain_POU_Average_43	POU3F2	ChIP-seq	Y
Homeodomain_POU_Average_43	POU3F3	ChIP-seq	Y
Homeodomain_POU_Average_43	POU3F4	ChIP-seq	Y
TEA_M6328_1.01	TEAD4	ChIP-seq	Y
MADS_box_M3420_1.01	MEF2A	ChIP-seq	Y
MADS_box_M3420_1.01	MEF2C	ChIP-seq	Y
MADS_box_M3420_1.01	MEF2D	ChIP-seq	Y
MADS_box_Average_21	MEF2A	ChIP-seq	Y
MADS_box_Average_21	MEF2C	ChIP-seq	Y
MADS_box_Average_21	MEF2D	ChIP-seq	Y
MADS_box_M3423_1.01	MEF2A	ChIP-seq	Y
MADS_box_M3423_1.01	MEF2C	ChIP-seq	Y
MADS_box_M3423_1.01	MEF2D	ChIP-seq	Y
CUT_Homeodomain_M2889_1.01	CUX1	ChIP-seq	Y
CUT_Homeodomain_M2889_1.01	CUX2	ChIP-seq	Y
Homeodomain_M6258_1.01	ALX1	ChIP-seq	Y
Homeodomain_M6258_1.01	ALX4	ChIP-seq	Y
Homeodomain_M6258_1.01	ARX	ChIP-seq	Y
Homeodomain_M6258_1.01	PHOX2A	ChIP-seq	Y
Homeodomain_M6258_1.01	PHOX2B	ChIP-seq	Y
Homeodomain_M6258_1.01	PRRX1	ChIP-seq	Y
Homeodomain_M6258_1.01	PRRX2	ChIP-seq	Y
Homeodomain_M6258_1.01	RAX	ChIP-seq	Y
Nuclear_receptor_M1843_1.01	NR2E3	ChIP-seq	Y
Myb_SANT_M1260_1.01	TERF2	ChIP-seq	Y
C2H2_ZF_M5930_1.01	ZBTB47	ChIP-seq	Y
C2H2_ZF_M5930_1.01	ZNF652	ChIP-seq	Y
C2H2_ZF_M6093_1.01	HIC1	ChIP-seq	Y
C2H2_ZF_M6093_1.01	HIC2	ChIP-seq	Y
bZIP_M3882_1.01	ATF1	ChIP-seq	Y
bZIP_M3882_1.01	CREB1	ChIP-seq	Y
SAND_M5313_1.01	GMEB2	ChIP-seq	Y
Forkhead_Average_20	FOXO1	ChIP-seq	Y
Forkhead_Average_20	FOXO3	ChIP-seq	Y
Forkhead_Average_20	FOXO4	ChIP-seq	Y
Forkhead_Average_20	FOXO6	ChIP-seq	Y
Forkhead_M6068_1.01	FOXP3	ChIP-seq	Y
Forkhead_M5271_1.01	FOXA1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXA2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXA4	ChIP-seq	Y
Forkhead_M5271_1.01	FOXB1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXB2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXC1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXC2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXD1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXD2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXD3	ChIP-seq	Y
Forkhead_M5271_1.01	FOXD4L1.1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXD4L1.2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXE1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXE3	ChIP-seq	Y
Forkhead_M5271_1.01	FOXF1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXF2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXI1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXI2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXI4.1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXI4.2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXJ1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXJ1.2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXJ2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXJ3	ChIP-seq	Y
Forkhead_M5271_1.01	FOXK2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXL1	ChIP-seq	Y
Forkhead_M5271_1.01	FOXL2	ChIP-seq	Y
Forkhead_M5271_1.01	FOXQ1	ChIP-seq	Y
Forkhead_Average_14	FOXA1	ChIP-seq	Y
Forkhead_Average_14	FOXA2	ChIP-seq	Y
Forkhead_Average_14	FOXA4	ChIP-seq	Y
Forkhead_Average_14	FOXB1	ChIP-seq	Y
Forkhead_Average_14	FOXB2	ChIP-seq	Y
Forkhead_Average_14	FOXC1	ChIP-seq	Y
Forkhead_Average_14	FOXC2	ChIP-seq	Y
Forkhead_Average_14	FOXD1	ChIP-seq	Y
Forkhead_Average_14	FOXD2	ChIP-seq	Y
Forkhead_Average_14	FOXD3	ChIP-seq	Y
Forkhead_Average_14	FOXD4L1.1	ChIP-seq	Y
Forkhead_Average_14	FOXD4L1.2	ChIP-seq	Y
Forkhead_Average_14	FOXE1	ChIP-seq	Y
Forkhead_Average_14	FOXE3	ChIP-seq	Y
Forkhead_Average_14	FOXF1	ChIP-seq	Y
Forkhead_Average_14	FOXF2	ChIP-seq	Y
Forkhead_Average_14	FOXI1	ChIP-seq	Y
Forkhead_Average_14	FOXI2	ChIP-seq	Y
Forkhead_Average_14	FOXI4.1	ChIP-seq	Y
Forkhead_Average_14	FOXI4.2	ChIP-seq	Y
Forkhead_Average_14	FOXJ1	ChIP-seq	Y
Forkhead_Average_14	FOXJ1.2	ChIP-seq	Y
Forkhead_Average_14	FOXJ2	ChIP-seq	Y
Forkhead_Average_14	FOXJ3	ChIP-seq	Y
Forkhead_Average_14	FOXK2	ChIP-seq	Y
Forkhead_Average_14	FOXL1	ChIP-seq	Y
Forkhead_Average_14	FOXL2	ChIP-seq	Y
Forkhead_Average_14	FOXQ1	ChIP-seq	Y
EIN3_Average_2	BRCA1	ChIP-seq	Y
Myb_SANT_M6168_1.01	MYBL2	ChIP-seq	Y
Mixed_Average_54	PAX2	ChIP-seq	Y
Mixed_Average_54	ZEB1	ChIP-seq	Y
Mixed_Average_28	KLF10	ChIP-seq	Y
Mixed_Average_28	KLF11	ChIP-seq	Y
Mixed_Average_28	KLF13	ChIP-seq	Y
Mixed_Average_28	KLF9	ChIP-seq	Y
Mixed_Average_28	MYB	ChIP-seq	Y
Mixed_Average_28	MYBL1	ChIP-seq	Y
Mixed_Average_28	MYBL2	ChIP-seq	Y
Myb_SANT_Average_6	MYB	ChIP-seq	Y
Myb_SANT_Average_6	MYBL1	ChIP-seq	Y
Myb_SANT_Average_6	MYBL2	ChIP-seq	Y
C2H2_ZF_M6221_1.01	OVOL1	ChIP-seq	Y
Myb_SANT_Average_10	MYB	ChIP-seq	Y
Myb_SANT_Average_10	MYBL1	ChIP-seq	Y
Myb_SANT_Average_10	MYBL2	ChIP-seq	Y
Myb_SANT_Average_5	MYB	ChIP-seq	Y
Myb_SANT_Average_5	MYBL1	ChIP-seq	Y
Myb_SANT_Average_5	MYBL2	ChIP-seq	Y
Myb_SANT_M1793_1.01	MYB	ChIP-seq	Y
Myb_SANT_M2938_1.01	MYB	ChIP-seq	Y
Myb_SANT_Average_9	MYB	ChIP-seq	Y
Myb_SANT_Average_9	MYBL1	ChIP-seq	Y
Myb_SANT_Average_9	MYBL2	ChIP-seq	Y
RFX_Average_30	RFX1	ChIP-seq	Y
RFX_Average_30	RFX2	ChIP-seq	Y
RFX_Average_30	RFX3	ChIP-seq	Y
RFX_Average_30	RFX4	ChIP-seq	Y
RFX_Average_30	RFX5	ChIP-seq	Y
RFX_Average_30	RFX6	ChIP-seq	Y
RFX_Average_30	RFX7	ChIP-seq	Y
Grainyhead_Average_4	GRHL1	ChIP-seq	Y
Grainyhead_Average_4	TFCP2	ChIP-seq	Y
Grainyhead_Average_4	UBP1	ChIP-seq	Y
Grainyhead_M5316_1.01	GRHL1	ChIP-seq	Y
Homeodomain_M5349_1.01	HOMEZ	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXA4	ChIP-seq	Y
Forkhead_M6055_1.01	FOXB1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXB2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXC1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXC2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD3	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD4L1.1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXD4L1.2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXE1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXE3	ChIP-seq	Y
Forkhead_M6055_1.01	FOXF1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXF2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI4.1	ChIP-seq	Y
Forkhead_M6055_1.01	FOXI4.2	ChIP-seq	Y
Forkhead_M6055_1.01	FOXJ1	ChIP-seq	Y
