Motif	Factor	Evidence	Curated
GM.5.0.Sox.0001	SOX12	ChIP-seq	Y
GM.5.0.Sox.0001	SOX13	ChIP-seq	Y
GM.5.0.Sox.0001	SOX9	ChIP-seq	Y
GM.5.0.Sox.0001	SOX30	ChIP-seq	Y
GM.5.0.Sox.0001	SOX15	ChIP-seq	Y
GM.5.0.Sox.0001	SRY	ChIP-seq	Y
GM.5.0.Sox.0001	SOX7	ChIP-seq	Y
GM.5.0.Sox.0001	SOX18	ChIP-seq	Y
GM.5.0.Homeodomain.0001	TGIF1	ChIP-seq	Y
GM.5.0.Mixed.0001	SRF	ChIP-seq	Y
GM.5.0.Mixed.0001	EGR1	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0001	RORA	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0001	NR1D1	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0001	RORC	ChIP-seq	Y
GM.5.0.Mixed.0002	LBX1	ChIP-seq	Y
GM.5.0.Mixed.0002	PAX4	ChIP-seq	Y
GM.5.0.Mixed.0002	VSX2	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0002	NR2C2	ChIP-seq	Y
GM.5.0.bHLH.0001	SIM1	ChIP-seq	Y
GM.5.0.bHLH.0001	NPAS1	ChIP-seq	Y
GM.5.0.bHLH.0001	AHR	ChIP-seq	Y
GM.5.0.bHLH.0001	NPAS3	ChIP-seq	Y
GM.5.0.bHLH.0001	EPAS1	ChIP-seq	Y
GM.5.0.bHLH.0001	HIF1A	ChIP-seq	Y
GM.5.0.bHLH.0001	ARNT	ChIP-seq	Y
GM.5.0.Myb_SANT.0001	MYBL1	ChIP-seq	Y
GM.5.0.Myb_SANT.0001	MYBL2	ChIP-seq	Y
GM.5.0.C2H2_ZF.0001	EGR2	ChIP-seq	Y
GM.5.0.C2H2_ZF.0001	EGR4	ChIP-seq	Y
GM.5.0.C2H2_ZF.0001	EGR1	ChIP-seq	Y
GM.5.0.GATA.0001	GATA2	ChIP-seq	Y
GM.5.0.GATA.0001	TAL1	ChIP-seq	Y
GM.5.0.GATA.0001	GATA1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	SNAI1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	ZEB1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	NHLH2	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	SNAI3	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	SNAI2	ChIP-seq	Y
GM.5.0.C2H2_ZF.0002	NHLH1	ChIP-seq	Y
GM.5.0.bZIP.0001	CEBPB	ChIP-seq	Y
GM.5.0.Homeodomain.0002	OTP	ChIP-seq	Y
GM.5.0.Homeodomain.0002	DLX5	ChIP-seq	Y
GM.5.0.Homeodomain.0002	ISX	ChIP-seq	Y
GM.5.0.Homeodomain.0002	DLX2	ChIP-seq	Y
GM.5.0.Homeodomain.0002	PRRX2	ChIP-seq	Y
GM.5.0.Homeodomain.0002	VSX2	ChIP-seq	Y
GM.5.0.Homeodomain.0002	DLX3	ChIP-seq	Y
GM.5.0.Homeodomain.0002	MSX2	ChIP-seq	Y
GM.5.0.Homeodomain.0002	DLX4	ChIP-seq	Y
GM.5.0.Homeodomain.0002	DLX6	ChIP-seq	Y
GM.5.0.Homeodomain.0002	CDX4	ChIP-seq	Y
GM.5.0.Ets.0001	SPI1	ChIP-seq	Y
GM.5.0.Ets.0001	FEV	ChIP-seq	Y
GM.5.0.Ets.0001	ETV2	ChIP-seq	Y
GM.5.0.Ets.0001	ERF	ChIP-seq	Y
