gene10841	Xetrov90000001m.g
gene8896	Xetrov90000002m.g
gene12382	Xetrov90000003m.g
gene11436	Xetrov90000003m.g
gene11149	LOC101731581
gene13909	Xetrov90000005m.g
gene13640	Xetrov90000006m.g
gene9007	Xetrov90000006m.g
gene27657	LOC100490505
gene17563	LOC100490675
gene17233	LOC100489075
gene30711	LOC100488911
gene29287	LOC100488739
gene24903	LOC105946480
gene15088	Xetrov90000013m.g
gene13589	LOC100488126
gene23521	LOC100487968
gene2763	LOC108645643
gene27328	LOC105946420
gene22047	LOC108645644
gene16599	LOC100498444
gene10921	Xetrov90000020m.g
gene26767	LOC108645645
gene20642	ino80b
gene19130	wbp1
gene30870	mogs
gene23275	LOC108645646
gene19113	LOC108645647
gene33462	LOC100487178
gene29421	LOC100487329
gene20384	LOC105946479
gene17556	LOC101734240
gene15572	Xetrov90000030m.g
gene11106	Xetrov90000031m.g
gene13920	Xetrov90000032m.g
gene23660	LOC108645648
gene12337	Xetrov90000034m.g
gene15228	Xetrov90000035m.g
gene13512	Xetrov90000036m.g
gene12638	Xetrov90000036m.g
gene28039	LOC105946418
gene29348	LOC100488963
gene15814	LOC108645649
gene21259	LOC108645650
gene26538	LOC101732289
gene11626	Xetrov90000039m.g
gene15372	Xetrov90000040m.g
gene9825	Xetrov90000040m.g
gene25777	LOC108645651
gene31873	LOC108645652
gene17775	LOC108645653
gene18695	LOC108645654
gene12994	Xetrov90000045m.g
gene9314	Xetrov90000046m.g
gene15497	Xetrov90000047m.g
gene14318	Xetrov90000048m.g
gene9734	Xetrov90000049m.g
gene13404	Xetrov90000049m.g
gene18360	LOC101734200
gene8802	Xetrov90000049m.g
gene14980	Xetrov90000050m.g
gene10345	Xetrov90000051m.g
gene10337	Xetrov90000052m.g
gene9109	Xetrov90000053m.g
gene10317	LOC101731697
gene11065	Xetrov90000055m.g
gene33280	LOC108645655
gene13387	Xetrov90000058m.g
gene14198	Xetrov90000059m.g
gene29061	LOC101731518
gene14144	Xetrov90000061m.g
gene11241	Xetrov90000062m.g
gene24961	LOC101731462
gene21467	LOC100490840
gene8692	Xetrov90000065m.g
gene14685	Xetrov90000066m.g
gene12051	Xetrov90000066m.g
gene11744	Xetrov90000066m.g
gene12778	Xetrov90000067m.g
gene13371	Xetrov90000067m.g
gene10398	LOC100493512
gene12688	LOC101734408
gene12854	Xetrov90000070m.g
gene12042	Xetrov90000070m.g
gene13187	Xetrov90000071m.g
gene11381	Xetrov90000072m.g
gene17041	LOC105946401
gene9810	Xetrov90000074m.g
gene9126	Xetrov90000074m.g
gene31589	LOC100492345
gene22942	LOC101734131
gene14747	Xetrov90000076m.g
gene13271	Xetrov90000077m.g
gene12558	LOC101734014
gene11767	LOC101734014
gene18502	LOC100491345
gene10300	LOC101734505
gene14057	Xetrov90000081m.g
gene13015	Xetrov90000082m.g
gene15907	LOC108645656
gene24888	LOC108645657
gene11811	Xetrov90000088m.g
gene28816	LOC101734665
gene31733	LOC108645658
gene32309	LOC105946403
gene14387	Xetrov90000091m.g
gene22327	LOC105946404
gene13926	Xetrov90000092m.g
gene9389	Xetrov90000093m.g
gene11880	Xetrov90000094m.g
gene10811	Xetrov90000095m.g
gene26394	LOC108645659
gene25694	LOC108645660
gene11385	Xetrov90000098m.g
gene10293	Xetrov90000099m.g
gene29797	LOC100491223
gene15613	Xetrov90000101m.g
gene19702	LOC108645661
gene9740	Xetrov90000103m.g
gene12466	Xetrov90000103m.g
gene14853	Xetrov90000103m.g
gene20327	LOC105946409
gene19577	LOC108645662
gene9450	Xetrov90000106m.g
gene11734	Xetrov90000106m.g
gene32929	ctnna2
gene9767	Xetrov90000108m.g
gene12495	Xetrov90000109m.g
gene15311	Xetrov90000110m.g
gene26956	lrrtm1
gene13921	Xetrov90000112m.g
gene9361	Xetrov90000113m.g
gene13360	Xetrov90000115m.g
gene8935	Xetrov90000115m.g
gene11730	Xetrov90000116m.g
gene11645	Xetrov90000117m.g
gene14259	Xetrov90000117m.g
gene21815	suclg1
gene12445	Xetrov90000120m.g
gene11627	Xetrov90000121m.g
gene14229	Xetrov90000122m.g
gene9041	Xetrov90000123m.g
gene12055	Xetrov90000124m.g
gene14655	Xetrov90000125m.g
gene9590	Xetrov90000126m.g
gene11886	Xetrov90000127m.g
gene12891	Xetrov90000128m.g
gene13463	Xetrov90000130m.g
gene10443	Xetrov90000131m.g
gene11831	Xetrov90000132m.g
gene9732	Xetrov90000133m.g
gene10263	Xetrov90000134m.g
gene14421	Xetrov90000135m.g
gene8645	Xetrov90000136m.g
gene11036	Xetrov90000137m.g
gene10222	Xetrov90000138m.g
gene11217	LOC101734878
gene11535	Xetrov90000140m.g
gene12549	Xetrov90000141m.g
gene9917	Xetrov90000142m.g
gene10938	Xetrov90000143m.g
gene12814	Xetrov90000144m.g
gene13538	Xetrov90000144m.g
gene13221	Xetrov90000144m.g
gene11948	Xetrov90000145m.g
gene15498	Xetrov90000146m.g
gene12615	Xetrov90000147m.g
gene8950	Xetrov90000144m.g
gene22406	LOC100493148
gene13295	Xetrov90000148m.g
gene10353	Xetrov90000149m.g
gene12989	Xetrov90000151m.g
gene13154	Xetrov90000152m.g
gene14088	Xetrov90000153m.g
gene11249	Xetrov90000154m.g
gene9754	Xetrov90000154m.g
gene17136	LOC101735285
gene14197	Xetrov90000155m.g
gene14696	Xetrov90000156m.g
gene12068	Xetrov90000157m.g
gene9092	Xetrov90000158m.g
gene6515	igkv3-20
gene10576	Xetrov90000160m.g
gene25081	LOC101733471
gene25051	LOC101730318
gene12282	Xetrov90000162m.g
gene9618	Xetrov90000163m.g
gene3019	LOC101733511
gene10564	Xetrov90000165m.g
gene15145	Xetrov90000166m.g
gene8958	Xetrov90000168m.g
gene13522	Xetrov90000169m.g
gene14551	LOC101730802
gene11889	Xetrov90000171m.g
gene12900	Xetrov90000172m.g
gene24898	LOC108645663
gene11291	LOC101730318
gene10789	Xetrov90000174m.g
gene2050	LOC101730659
gene8791	Xetrov90000176m.g
gene15183	Xetrov90000177m.g
gene2171	LOC101734979
gene8324	LOC105945703
gene22261	LOC108645664
gene15487	Xetrov90000181m.g
gene11209	Xetrov90000182m.g
gene10009	Xetrov90000183m.g
gene26338	LOC101734941
gene19316	LOC108645665
gene10413	Xetrov90000185m.g
gene560	LOC101730301
gene12935	Xetrov90000187m.g
gene10165	Xetrov90000188m.g
gene29749	LOC108645666
gene12557	Xetrov90000190m.g
gene8907	Xetrov90000191m.g
gene21198	LOC101734878
gene7455	LOC101735157
gene12902	Xetrov90000194m.g
gene12427	Xetrov90000195m.g
gene10999	Xetrov90000196m.g
gene12448	Xetrov90000197m.g
gene14951	Xetrov90000198m.g
gene15529	Xetrov90000194m.g
gene9786	Xetrov90000194m.g
gene9322	Xetrov90000199m.g
gene15701	Xetrov90000200m.g
gene10519	Xetrov90000194m.g
gene10397	Xetrov90000201m.g
gene14553	Xetrov90000201m.g
gene11709	Xetrov90000202m.g
gene9067	Xetrov90000203m.g
gene10743	Xetrov90000204m.g
gene14245	Xetrov90000205m.g
gene15070	Xetrov90000206m.g
gene12102	Xetrov90000207m.g
gene16607	LOC105946367
gene28820	LOC100496115
gene34010	adra1d
gene10613	Xetrov90000213m.g
gene13396	Xetrov90000214m.g
gene9346	LOC100495639
gene32403	LOC105946366
gene12074	Xetrov90000218m.g
gene19216	rnf24
gene22160	pank2
gene25286	mir103-2
gene10045	Xetrov90000221m.g
gene8849	Xetrov90000222m.g
gene11577	Xetrov90000223m.g
gene18805	mavs
gene11688	Xetrov90000224m.g
gene19639	ptpra
gene9434	Xetrov90000229m.g
gene6404	gnrh2
gene5519	oxt
gene4626	avp
gene5814	ubox5
gene22203	fastkd5
gene18646	lzts3
gene11119	Xetrov90000235m.g
gene18591	LOC779549
gene10112	Xetrov90000238m.g
gene10874	Xetrov90000239m.g
gene33140	gfra4
gene9315	Xetrov90000241m.g
gene29181	atrn
gene21625	c20orf194
gene18095	LOC105946274
gene32591	LOC100486532
gene28790	slc4a11
gene24820	LOC101732343
gene13269	Xetrov90000246m.g
gene34150	LOC100486231
gene10197	LOC100486139
gene25616	ddrgk1
gene12771	Xetrov90000250m.g
gene20430	mir146b
gene16477	LOC100486283
gene17717	paip2b
gene16841	siglec1
gene30844	LOC101732811
gene3767	tex261
gene19182	ankrd53
gene4433	LOC108645698
gene29443	atp6v1b1
gene20576	vax2
gene16572	nagk
gene30814	exoc6b
gene27320	LOC108647863
gene10118	Xetrov90000263m.g
gene5360	cyp26b1
gene24994	dysf
gene11293	dysf-like
gene769	znf638
gene10031	Xetrov90000268m.g
gene5679	cdc25b
gene27440	LOC105946273
gene22339	LOC101732075
gene2612	spef1
gene3973	c20orf27
gene24788	hspa12b
gene19673	lyrm2
gene5732	LOC100492381
gene28469	LOC100489054
gene7417	LOC100127651
gene11088	Xetrov90000277m.g
gene17729	LOC101734223
gene9082	Xetrov90000279m.g
gene5298	cpxm1
gene25583	nat8b
gene7280	LOC100489204
gene20211	LOC100489358
gene5801	cml
gene28294	nat8
gene21982	LOC101731538
gene3815	LOC100145252
gene31969	LOC101731427
gene14514	Xetrov90000290m.g
gene28157	LOC100489847
gene24962	LOC100490023
gene19839	LOC100487404
gene25974	adam33
gene22049	dctn1
gene8280	LOC100145764
gene32341	LOC101734035
gene12664	Xetrov90000300m.g
gene31838	smyd5
gene9402	Xetrov90000304m.g
gene26675	LOC100490368
gene21449	LOC100493985
gene11313	LOC101733975
gene9005	Xetrov90000303m.g
gene10018	Xetrov90000307m.g
gene17611	LOC101730221
gene31734	LOC105946267
gene26514	LOC101730339
gene18244	LOC105946268
gene1409	MGC108497
gene28645	alms1
gene20950	egr4
gene10108	Xetrov90000311m.g
gene33189	fbxo41
gene921	cct7
gene22696	pradc1
gene25487	glod5
gene5674	not
gene21802	rab11fip5
gene4721	sfxn5
gene27450	emx1.2
gene14675	Xetrov90000320m.g
gene16353	spr
gene28703	LOC101734896
gene24372	LOC101733807
gene29650	LOC101734828
gene31271	LOC101734761
gene18050	LOC100488259
gene11188	LOC100488259
gene22799	LOC100491053
gene28117	LOC101733694
gene19404	LOC108645667
gene23097	LOC100486691
gene9111	LOC100491220
gene21386	LOC108645668
gene33569	LOC100491388
gene32931	LOC105946364
gene18388	LOC105946363
gene17786	LOC100498296
gene21744	LOC105945181
gene25106	LOC105946362
gene12050	Xetrov90000337m.g
gene6901	ptcd3
gene20306	immt
gene21084	reep1
gene7971	kdm3a
gene11745	chmp3
gene29772	chmp3
gene14622	rnf103
gene8203	rmnd5a
gene12430	cd8a
gene26325	LOC100489117
gene28874	cd8b
gene14168	Xetrov90000347m.g
gene34068	LOC105946361
gene3852	mfsd10
gene7190	vim.2
gene11991	Xetrov90000352m.g
gene14651	Xetrov90000353m.g
gene8367	add1
gene31460	LOC101732620
gene16722	sh3bp2
gene11635	Xetrov90000372m.g
gene13040	Xetrov90000373m.g
gene3744	tnip2
gene20934	fam193a
gene6142	rnf4
gene31181	cfap99
gene17838	zfyve28
gene3908	mxd4
gene28073	haus3
gene12100	LOC101732961
gene33214	LOC108645699
gene19866	LOC108645700
gene27153	LOC108647922
gene29973	poln
gene438	nat8l
gene4614	c4orf48
gene4665	LOC100124771
gene3621	nelfa
gene264	LOC100492954
gene20759	whsc1
gene2813	letm1
gene3589	fgfr3
gene29600	LOC101733532
gene3653	tacc3
gene7557	tmem129
gene2928	slbp
gene3770	fam53a
gene9391	Xetrov90000397m.g
gene11682	Xetrov90000398m.g
gene20059	nkx1-1
gene4050	uvssa
gene32588	maea
gene10536	Xetrov90000403m.g
gene6720	ctbp1
gene17609	spon2
gene22139	gp25l
gene9660	rnf212
gene31837	LOC105946477
gene19878	fgfrl1
gene11047	Xetrov90000409m.g
gene17522	LOC101733112
gene28475	atoh8
gene17632	st3gal5
gene30186	polr1a
gene33063	trnaw-cca
gene22088	trnaw-cca
gene19624	mrpl35
gene8006	krcc1
gene1174	smyd1
gene25285	fabp1
gene687	thnsl2
gene32229	foxi4.1
gene18374	foxi4.2
gene27145	LOC100490372
gene15683	moap1
gene26608	eif2ak3
gene11040	Xetrov90000427m.g
gene8029	lrpap1
gene15775	dok7
gene24564	hgfac
gene23727	rgs12
gene32875	LOC105946263
gene26401	msantd1
gene2967	htt
gene19759	LOC105946264
gene34114	grk4
gene12990	Xetrov90000436m.g
gene3258	LOC394441
gene23658	LOC100145536
gene23511	nop14
gene17337	LOC108645669
gene31435	LOC101732101
gene12489	Xetrov90000441m.g
gene942	LOC100496125
gene9357	Xetrov90000444m.g
gene23401	LOC101732154
gene27454	LOC100485079
gene3311	med28
gene5009	lap3
gene26558	clrn2
gene7288	qdpr
gene10116	Xetrov90000452m.g
gene32473	ldb2
gene7464	tapt1
gene25307	prom1
gene4037	fgfbp2
gene5382	fgfbp1
gene1780	cd38
gene23861	LOC101733556
gene1963	fbxl5
gene34058	cc2d2a
gene19584	c1qtnf7
gene5811	cpeb2
gene8937	Xetrov90000465m.g
gene1055	bod1l1
gene9447	Xetrov90000469m.g
gene31401	LOC101731252
gene13790	Xetrov90000469m.g
gene31811	nkx3-2
gene27852	rab28
gene1012	hs3st1
gene5849	clnk
gene3580	znf518b
gene31607	wdr1
gene15773	slc2a9
gene13125	Xetrov90000480m.g
gene14834	Xetrov90000481m.g
gene11902	Xetrov90000482m.g
gene14369	LOC101734406
gene11600	LOC100494559
gene24269	drd5
gene28730	LOC100494710
gene34203	LOC100494873
gene32690	otop1
gene19169	tmem128
