rna29947	gene10841
rna27972	gene8896
rna31507	gene12382
rna30554	gene11436
rna30263	gene11149
rna33056	gene13909
rna32783	gene13640
rna28085	gene9007
rna53791	gene27657
rna37767	gene17563
rna37253	gene17233
rna58681	gene30711
rna56429	gene29287
rna49464	gene24903
rna34263	gene15088
rna32732	gene13589
rna47122	gene23521
rna9130	gene2763
rna53249	gene27328
rna44845	gene22047
rna36327	gene16599
rna30031	gene10921
rna52363	gene26767
rna42583	gene20642
rna40154	gene19130
rna58928	gene30870
rna46757	gene23275
rna40133	gene19113
rna63072	gene33462
rna56637	gene29421
rna42154	gene20384
rna37761	gene17556
rna34751	gene15572
rna30220	gene11106
rna33068	gene13920
rna47345	gene23660
rna31462	gene12337
rna34404	gene15228
rna32653	gene13512
rna31765	gene12638
rna56525	gene29348
rna35064	gene15814
rna43561	gene21259
rna52025	gene26538
rna30744	gene11626
rna34549	gene15372
rna28917	gene9825
rna50833	gene25777
rna60443	gene31873
rna38142	gene17775
rna39514	gene18695
rna32128	gene12994
rna28400	gene9314
rna34675	gene15497
rna33477	gene14318
rna28826	gene9734
rna32543	gene13404
rna39064	gene18360
rna39063	gene18360
rna39065	gene18360
rna27877	gene8802
rna34155	gene14980
rna29443	gene10345
rna29435	gene10337
rna28192	gene9109
rna29415	gene10317
rna30179	gene11065
rna62823	gene33280
rna32524	gene13387
rna33354	gene14198
rna56057	gene29061
rna33300	gene14144
rna30356	gene11241
rna49547	gene24961
rna43891	gene21467
rna27765	gene8692
rna33851	gene14685
rna31174	gene12051
rna30863	gene11744
rna31906	gene12778
rna32508	gene13371
rna29496	gene10398
rna31815	gene12688
rna31983	gene12854
rna31165	gene12042
rna32321	gene13187
rna30499	gene11381
rna36982	gene17041
rna28902	gene9810
rna28210	gene9126
rna60009	gene31589
rna46227	gene22942
rna33918	gene14747
rna32405	gene13271
rna31685	gene12558
rna30886	gene11767
rna39255	gene18502
rna29398	gene10300
rna33210	gene14057
rna32149	gene13015
rna35211	gene15907
rna49446	gene24888
rna30931	gene11811
rna55703	gene28816
rna60221	gene31733
rna61200	gene32309
rna33546	gene14387
rna33076	gene13926
rna28475	gene9389
rna31002	gene11880
rna29917	gene10811
rna51783	gene26394
rna50694	gene25694
rna30503	gene11385
rna29391	gene10293
rna57214	gene29797
rna34792	gene15613
rna41017	gene19702
rna28832	gene9740
rna31593	gene12466
rna34027	gene14853
rna42078	gene20327
rna40847	gene19577
rna28536	gene9450
rna30853	gene11734
rna62210	gene32929
rna28859	gene9767
rna31622	gene12495
rna34488	gene15311
rna52651	gene26956
rna33069	gene13921
rna28447	gene9361
rna32497	gene13360
rna28011	gene8935
rna30849	gene11730
rna30763	gene11645
rna33416	gene14259
rna44479	gene21815
rna31571	gene12445
rna30745	gene11627
rna33385	gene14229
rna28120	gene9041
rna31178	gene12055
rna33820	gene14655
rna28678	gene9590
rna31008	gene11886
rna32020	gene12891
rna32604	gene13463
rna29541	gene10443
rna30951	gene11831
rna28824	gene9732
rna29361	gene10263
rna33580	gene14421
rna27718	gene8645
rna30150	gene11036
rna29319	gene10222
rna30332	gene11217
rna30653	gene11535
rna31676	gene12549
rna29010	gene9917
rna30049	gene10938
rna31943	gene12814
rna32680	gene13538
rna32355	gene13221
rna31070	gene11948
rna34676	gene15498
rna31742	gene12615
rna28026	gene8950
rna45413	gene22406
rna32431	gene13295
rna29451	gene10353
rna32123	gene12989
rna32288	gene13154
rna33242	gene14088
rna30364	gene11249
rna28846	gene9754
id329543	gene17136
rna33353	gene14197
rna33864	gene14696
rna31191	gene12068
rna28175	gene9092
rna21058	gene6515
id216192	gene6515
rna29677	gene10576
rna49739	gene25081
rna49695	gene25051
rna31407	gene12282
rna28706	gene9618
id102259	gene3019
rna9898	gene3019
rna29665	gene10564
rna34321	gene15145
rna34320	gene15145
rna28034	gene8958
rna32664	gene13522
rna33712	gene14551
rna31011	gene11889
rna32032	gene12900
rna49458	gene24898
rna30406	gene11291
rna29895	gene10789
rna6729	gene2050
rna6728	gene2050
rna27865	gene8791
rna34359	gene15183
id73231	gene2171
rna7138	gene2171
id275828	gene8324
rna26891	gene8324
rna45166	gene22261
rna34665	gene15487
rna30324	gene11209
rna29104	gene10009
rna51693	gene26338
rna40414	gene19316
rna29511	gene10413
id16786	gene560
rna1738	gene560
rna32067	gene12935
rna29261	gene10165
rna57139	gene29749
rna31684	gene12557
rna27983	gene8907
rna43461	gene21198
rna24035	gene7455
id247205	gene7455
rna32034	gene12902
rna31552	gene12427
rna30111	gene10999
rna31574	gene12448
rna34125	gene14951
rna34707	gene15529
rna28878	gene9786
rna28408	gene9322
rna34881	gene15701
rna29617	gene10519
rna29495	gene10397
rna33715	gene14553
rna30828	gene11709
rna28148	gene9067
rna29849	gene10743
rna33402	gene14245
rna34245	gene15070
rna31226	gene12102
rna36336	gene16607
rna55706	gene28820
rna64021	gene34010
rna29714	gene10613
rna32535	gene13396
rna28432	gene9346
rna61342	gene32403
rna31197	gene12074
rna40271	gene19216
rna40272	gene19216
rna45034	gene22160
rna50068	gene25286
rna50069	gene25286
rna29140	gene10045
rna27924	gene8849
rna30695	gene11577
rna39668	gene18805
rna30807	gene11688
rna40928	gene19639
rna40929	gene19639
rna28520	gene9434
rna20687	gene6404
rna20686	gene6404
rna20688	gene6404
rna17906	gene5519
rna17907	gene5519
rna15062	gene4626
rna15061	gene4626
rna18814	gene5814
rna18815	gene5814
rna18813	gene5814
rna45094	gene22203
rna45095	gene22203
rna39442	gene18646
rna39443	gene18646
rna39444	gene18646
rna30233	gene11119
rna39360	gene18591
rna29207	gene10112
rna29983	gene10874
rna62567	gene33140
rna28401	gene9315
rna56229	gene29181
rna44186	gene21625
rna44187	gene21625
rna38634	gene18095
rna61640	gene32591
rna55663	gene28790
rna55662	gene28790
rna55664	gene28790
rna49355	gene24820
rna32403	gene13269
rna64243	gene34150
rna64244	gene34150
rna29293	gene10197
rna50572	gene25616
rna31899	gene12771
rna42237	gene20430
rna42238	gene20430
rna36143	gene16477
rna38055	gene17717
rna36700	gene16841
rna58884	gene30844
rna12316	gene3767
rna12315	gene3767
rna40227	gene19182
rna14448	gene4433
rna14449	gene4433
rna56681	gene29443
rna42458	gene20576
rna36276	gene16572
rna58838	gene30814
rna58839	gene30814
rna58840	gene30814
rna58841	gene30814
rna58842	gene30814
rna53235	gene27320
rna29213	gene10118
rna17365	gene5360
rna17366	gene5360
rna49621	gene24994
rna30408	gene11293
rna2457	gene769
rna2458	gene769
rna29126	gene10031
rna18419	gene5679
rna18418	gene5679
rna53431	gene27440
rna53430	gene27440
rna45297	gene22339
rna8677	gene2612
rna8676	gene2612
rna12977	gene3973
rna12976	gene3973
rna49313	gene24788
rna40979	gene19673
rna18573	gene5732
rna18572	gene5732
rna55103	gene28469
rna23930	gene7417
rna23931	gene7417
rna30202	gene11088
rna38072	gene17729
rna28165	gene9082
rna17188	gene5298
rna17189	gene5298
rna17187	gene5298
rna50515	gene25583
rna50516	gene25583
rna50517	gene25583
rna23533	gene7280
rna23532	gene7280
rna41884	gene20211
rna18762	gene5801
rna18763	gene5801
rna54824	gene28294
rna44755	gene21982
rna44756	gene21982
rna44757	gene21982
rna44758	gene21982
rna12450	gene3815
rna12449	gene3815
rna12451	gene3815
rna60588	gene31969
rna33675	gene14514
rna54569	gene28157
rna49548	gene24962
rna41250	gene19839
rna41251	gene19839
rna41252	gene19839
rna41253	gene19839
rna41255	gene19839
rna41254	gene19839
rna41256	gene19839
rna41257	gene19839
rna41258	gene19839
rna51159	gene25974
rna51160	gene25974
rna51161	gene25974
rna44848	gene22049
rna44850	gene22049
rna44847	gene22049
rna44851	gene22049
rna44849	gene22049
rna44852	gene22049
rna44853	gene22049
rna44854	gene22049
rna44855	gene22049
rna44856	gene22049
rna44857	gene22049
rna26757	gene8280
rna26758	gene8280
rna26759	gene8280
rna26760	gene8280
rna26756	gene8280
rna61259	gene32341
rna31791	gene12664
rna60397	gene31838
rna28488	gene9402
rna52229	gene26675
rna43861	gene21449
rna30428	gene11313
rna28083	gene9005
rna29113	gene10018
rna37841	gene17611
rna60222	gene31734
rna51998	gene26514
rna38875	gene18244
rna4532	gene1409
rna4533	gene1409
rna55429	gene28645
rna55428	gene28645
rna43055	gene20950
rna29203	gene10108
rna62678	gene33189
rna2939	gene921
rna2940	gene921
rna45835	gene22696
rna50374	gene25487
rna18403	gene5674
rna18404	gene5674
rna44462	gene21802
rna15393	gene4721
rna15394	gene4721
rna53445	gene27450
rna33841	gene14675
rna35928	gene16353
rna55531	gene28703
rna48532	gene24372
rna57007	gene29650
rna59524	gene31271
rna59525	gene31271
rna38578	gene18050
rna30303	gene11188
rna45987	gene22799
rna54513	gene28117
rna40576	gene19404
rna46478	gene23097
rna28194	gene9111
rna43751	gene21386
rna63252	gene33569
rna62212	gene32931
rna39101	gene18388
rna38165	gene17786
