motif	factor
Rel_M5476_1.01	NFATC1
Rel_M5476_1.01	NFATC2
Rel_M5476_1.01	NFATC3
Rel_M5476_1.01	NFATC4
SMAD_Average_3	NFIA
SMAD_Average_3	NFIB
SMAD_Average_3	NFIC
SMAD_Average_3	NFIX
Homeodomain_POU_Average_32	POU2F1
Homeodomain_POU_Average_32	POU3F1
Homeodomain_POU_Average_32	POU3F2
Homeodomain_POU_Average_32	POU3F4
Homeodomain_POU_Average_43	POU1F1
Homeodomain_POU_Average_43	POU2F1
Homeodomain_POU_Average_43	POU2F2
Homeodomain_POU_Average_43	POU2F3
Homeodomain_POU_Average_43	POU3F1
Homeodomain_POU_Average_43	POU3F2
Homeodomain_POU_Average_43	POU3F3
Homeodomain_POU_Average_43	POU3F4
TEA_M6328_1.01	TEAD4
MADS_box_M3420_1.01	MEF2A
MADS_box_M3420_1.01	MEF2C
MADS_box_M3420_1.01	MEF2D
MADS_box_Average_21	MEF2A
MADS_box_Average_21	MEF2C
MADS_box_Average_21	MEF2D
MADS_box_M3423_1.01	MEF2A
MADS_box_M3423_1.01	MEF2C
MADS_box_M3423_1.01	MEF2D
CUT_Homeodomain_M2889_1.01	CUX1
CUT_Homeodomain_M2889_1.01	CUX2
Homeodomain_M6258_1.01	ALX1
Homeodomain_M6258_1.01	ALX4
Homeodomain_M6258_1.01	ARX
Homeodomain_M6258_1.01	PHOX2A
Homeodomain_M6258_1.01	PHOX2B
Homeodomain_M6258_1.01	PRRX1
Homeodomain_M6258_1.01	PRRX2
Homeodomain_M6258_1.01	RAX
Nuclear_receptor_M1843_1.01	NR2E3
Myb_SANT_M1260_1.01	TERF2
C2H2_ZF_M5930_1.01	ZBTB47
C2H2_ZF_M5930_1.01	ZNF652
C2H2_ZF_M6093_1.01	HIC1
C2H2_ZF_M6093_1.01	HIC2
bZIP_M3882_1.01	ATF1
bZIP_M3882_1.01	CREB1
SAND_M5313_1.01	GMEB2
Forkhead_Average_20	FOXO1
Forkhead_Average_20	FOXO3
Forkhead_Average_20	FOXO4
Forkhead_Average_20	FOXO6
Forkhead_M6068_1.01	FOXP3
Forkhead_M5271_1.01	FOXA1
Forkhead_M5271_1.01	FOXA2
Forkhead_M5271_1.01	FOXA4
Forkhead_M5271_1.01	FOXB1
Forkhead_M5271_1.01	FOXB2
Forkhead_M5271_1.01	FOXC1
Forkhead_M5271_1.01	FOXC2
Forkhead_M5271_1.01	FOXD1
Forkhead_M5271_1.01	FOXD2
