motif	factor
GM.5.0.Sox.0001	SOX12
GM.5.0.Sox.0001	SOX13
GM.5.0.Sox.0001	SOX9
GM.5.0.Sox.0001	SOX30
GM.5.0.Sox.0001	SOX15
GM.5.0.Sox.0001	SRY
GM.5.0.Sox.0001	SOX7
GM.5.0.Sox.0001	SOX18
GM.5.0.Homeodomain.0001	ENSG00000234254
GM.5.0.Homeodomain.0001	TGIF1
GM.5.0.Mixed.0001	SRF
GM.5.0.Mixed.0001	EGR1
GM.5.0.Nuclear_receptor.0001	RORA
GM.5.0.Nuclear_receptor.0001	NR1D1
GM.5.0.Nuclear_receptor.0001	RORC
GM.5.0.Mixed.0002	LBX1
GM.5.0.Mixed.0002	PAX4
GM.5.0.Mixed.0002	VSX2
GM.5.0.Nuclear_receptor.0002	NR2C2
GM.5.0.bHLH.0001	SIM1
GM.5.0.bHLH.0001	NPAS1
GM.5.0.bHLH.0001	AHR
GM.5.0.bHLH.0001	HIF1B
GM.5.0.bHLH.0001	NPAS3
GM.5.0.bHLH.0001	HIF2A
GM.5.0.bHLH.0001	EPAS1
GM.5.0.bHLH.0001	HIF1A
GM.5.0.bHLH.0001	ARNT
GM.5.0.Myb_SANT.0001	MYBL1
GM.5.0.Myb_SANT.0001	MYBL2
GM.5.0.C2H2_ZF.0001	EGR2
GM.5.0.C2H2_ZF.0001	EGR4
GM.5.0.C2H2_ZF.0001	EGR
GM.5.0.C2H2_ZF.0001	EGR1
GM.5.0.GATA.0001	CCNT2
GM.5.0.GATA.0001	GATA
GM.5.0.GATA.0001	GATA2
GM.5.0.GATA.0001	TAL1
GM.5.0.GATA.0001	GATA1
GM.5.0.C2H2_ZF.0002	SNAI1
GM.5.0.C2H2_ZF.0002	ZEB1
GM.5.0.C2H2_ZF.0002	NHLH2
GM.5.0.C2H2_ZF.0002	SNAI3
GM.5.0.C2H2_ZF.0002	SNAI2
GM.5.0.C2H2_ZF.0002	NHLH1
GM.5.0.bZIP.0001	CEBPB
GM.5.0.bZIP.0001	NFY
GM.5.0.Homeodomain.0002	OTP
GM.5.0.Homeodomain.0002	PRRXL1
GM.5.0.Homeodomain.0002	DLX5
GM.5.0.Homeodomain.0002	ISX
GM.5.0.Homeodomain.0002	DLX2
GM.5.0.Homeodomain.0002	PRRX2
GM.5.0.Homeodomain.0002	VSX2
GM.5.0.Homeodomain.0002	DLX3
GM.5.0.Homeodomain.0002	MSX2
GM.5.0.Homeodomain.0002	DLX4
GM.5.0.Homeodomain.0002	DLX6
GM.5.0.Homeodomain.0002	CDX4
GM.5.0.Ets.0001	SPI1
GM.5.0.Ets.0001	FEV
GM.5.0.Ets.0001	ETV2
GM.5.0.Ets.0001	ENSG00000235187
GM.5.0.Ets.0001	ENSMUSG00000044690
GM.5.0.Ets.0001	ERF
GM.5.0.Ets.0001	ETS2
GM.5.0.bZIP.0002	JUNB
GM.5.0.bZIP.0002	JUND
GM.5.0.bZIP.0002	JDP2
GM.5.0.bZIP.0002	FOSL1
GM.5.0.bZIP.0002	FOSB
GM.5.0.bZIP.0002	FOS
GM.5.0.IRF.0001	IRF2
GM.5.0.IRF.0001	IRF1
GM.5.0.IRF.0001	IRF3
GM.5.0.bHLH.0002	TCF3
GM.5.0.bHLH.0002	ATOH7
GM.5.0.bHLH.0002	TCFAP4
GM.5.0.Nuclear_receptor.0003	RXRA
GM.5.0.Nuclear_receptor.0003	RARG
GM.5.0.Nuclear_receptor.0003	RXRG
GM.5.0.Nuclear_receptor.0003	RARA
GM.5.0.bZIP.0003	BACH1
GM.5.0.bZIP.0003	NFE2
GM.5.0.bZIP.0003	MAFK
GM.5.0.bZIP.0003	BACH2
GM.5.0.bHLH.0003	SREBF1
GM.5.0.bHLH.0003	SREBF
GM.5.0.HSF.0001	POLR3A
GM.5.0.HSF.0001	GTF3C2
GM.5.0.HSF.0001	POLR3G
GM.5.0.HSF.0001	HSF1
GM.5.0.HSF.0001	HSF4
GM.5.0.Homeodomain.0003	HOXA6
GM.5.0.Homeodomain.0003	HOXD4
GM.5.0.Homeodomain.0003	HOXC5
GM.5.0.Homeodomain.0003	NP_032296.2
GM.5.0.Homeodomain.0003	HOXA5
GM.5.0.Homeodomain.0003	AC012531.1
GM.5.0.Homeodomain.0003	HOXB2
GM.5.0.Homeodomain.0003	HOXD3
GM.5.0.Homeodomain.0003	HOXB9
GM.5.0.Homeodomain.0003	HOXB4
GM.5.0.Homeodomain.0003	HOXB7
GM.5.0.Homeodomain.0003	HOXB6
GM.5.0.Homeodomain.0003	HOXC9
GM.5.0.Homeodomain.0003	HOXB8
GM.5.0.C2H2_ZF.0003	ZBTB6
GM.5.0.ARID_BRIGHT.0001	ARID3C
GM.5.0.ARID_BRIGHT.0001	ARID3B
GM.5.0.ARID_BRIGHT.0001	ARID3A
GM.5.0.Homeodomain_POU.0001	POU5F1
GM.5.0.Homeodomain_POU.0001	NANOG
GM.5.0.Homeodomain_POU.0001	POU3F2
GM.5.0.C2H2_ZF.0004	ZIC4
GM.5.0.C2H2_ZF.0004	ZIC1
GM.5.0.C2H2_ZF.0004	ZIC5
GM.5.0.Homeodomain.0004	IRX3
GM.5.0.Homeodomain.0004	IRX4
GM.5.0.Homeodomain.0004	IRX6
GM.5.0.Homeodomain.0004	IRX1
GM.5.0.Nuclear_receptor.0004	NR2C2
GM.5.0.Nuclear_receptor.0004	HNF4
GM.5.0.Nuclear_receptor.0004	NR2C1
GM.5.0.Sox.0002	SRY
GM.5.0.Sox.0002	SOX9
GM.5.0.DM.0001	DMRT1
GM.5.0.DM.0001	DMRT6
GM.5.0.bHLH.0004	MITF
GM.5.0.bHLH.0004	EBOX
GM.5.0.bHLH.0004	USF1
GM.5.0.bHLH.0004	SREBF1
GM.5.0.bHLH.0004	TFE3
GM.5.0.bHLH.0004	TFE
GM.5.0.bHLH.0004	USF2
GM.5.0.bZIP.0004	ATF5
GM.5.0.bZIP.0004	CHOP
GM.5.0.bZIP.0004	MYC
GM.5.0.bZIP.0004	ATF4
GM.5.0.bZIP.0004	DDIT3
GM.5.0.bZIP.0004	CEBPG
GM.5.0.bZIP.0004	ATF3
GM.5.0.T-box.0001	TBX10
GM.5.0.T-box.0001	TBX21
GM.5.0.T-box.0001	TBX1
GM.5.0.T-box.0001	TBX20
GM.5.0.T-box.0001	TBR1
GM.5.0.T-box.0001	EOMES
GM.5.0.T-box.0001	TBET
GM.5.0.bHLH.0005	ID2
GM.5.0.bHLH.0005	ID3
GM.5.0.bHLH.0005	MYF5
GM.5.0.bHLH.0005	FIGLA
GM.5.0.bHLH.0005	ID4
GM.5.0.bHLH.0005	ID1
GM.5.0.bHLH.0005	MYF6
GM.5.0.bHLH.0005	TCF3
GM.5.0.Homeodomain.0005	GSC
GM.5.0.Homeodomain.0005	OTP
GM.5.0.Homeodomain.0005	OTX2
GM.5.0.Homeodomain.0005	PRRXL1
GM.5.0.Homeodomain.0005	OBOX6
GM.5.0.Homeodomain.0005	DMBX1
GM.5.0.Homeodomain.0005	GM4830
GM.5.0.Homeodomain.0005	CRX
GM.5.0.Homeodomain.0005	OBOX1
GM.5.0.Homeodomain.0005	ENSMUSG00000040953
GM.5.0.Homeodomain.0005	DPRX
GM.5.0.Homeodomain.0005	PITX3
GM.5.0.Homeodomain.0005	NP_663755.2
GM.5.0.Homeodomain.0005	Q8VHG7_MOUSE
GM.5.0.Homeodomain.0005	OTX1
