GM.5.0.Sox.0001	SRY,SOX9,SOX13,SOX15
GM.5.0.Homeodomain.0001	TGIF1
GM.5.0.Nuclear_receptor.0001	RORA
GM.5.0.Mixed.0002	VSX2,PAX4
GM.5.0.Nuclear_receptor.0002	NR2C2
GM.5.0.bHLH.0001	AHR,ARNT,HIF1A,EPAS1,HIF2A,HIF1B
GM.5.0.Myb_SANT.0001	MYBL1,MYBL2
GM.5.0.C2H2_ZF.0001	EGR1,EGR,EGR2
GM.5.0.GATA.0001	GATA1,GATA2,GATA,TAL1
GM.5.0.C2H2_ZF.0002	ZEB1,SNAI1,SNAI2
GM.5.0.bZIP.0001	NFY
GM.5.0.Homeodomain.0002	DLX5,ISX,DLX2,PRRX2
GM.5.0.Ets.0001	FEV,ETS2,SPI1
GM.5.0.bZIP.0002	FOSL1,JDP2,JUNB,JUND
GM.5.0.IRF.0001	IRF2,IRF1,IRF3
GM.5.0.bHLH.0002	TCFAP4,TCF3
GM.5.0.Nuclear_receptor.0003	RARG,RARA,RXRA,RXRG
GM.5.0.bZIP.0003	BACH1,MAFK,BACH2
GM.5.0.bHLH.0003	SREBF1,SREBF
GM.5.0.HSF.0001	HSF1
GM.5.0.Homeodomain.0003	HOXB7,HOXB8,HOXA5,HOXB6
GM.5.0.C2H2_ZF.0003	ZBTB6
GM.5.0.ARID_BRIGHT.0001	ARID3A
GM.5.0.Homeodomain_POU.0001	POU3F2
GM.5.0.C2H2_ZF.0004	ZIC1
GM.5.0.Nuclear_receptor.0004	HNF4,NR2C1
GM.5.0.Sox.0002	SOX9,SRY
GM.5.0.DM.0001	DMRT1,DMRT6
GM.5.0.bHLH.0004	USF1,SREBF1,MITF,TFE3,USF2,EBOX,TFE
GM.5.0.bZIP.0004	ATF4,CHOP,CEBPG,DDIT3
GM.5.0.T-box.0001	TBET,TBX1,EOMES,TBR1,TBX20,TBX21
GM.5.0.bHLH.0005	TCF3,FIGLA,ID4,MYF6
