rna29947	Xetrov90000001m.g
rna27972	Xetrov90000002m.g
rna31507	Xetrov90000003m.g
rna30554	Xetrov90000003m.g
rna30263	LOC101731581
rna33056	Xetrov90000005m.g
rna32783	Xetrov90000006m.g
rna28085	Xetrov90000006m.g
rna53791	LOC100490505
rna37767	LOC100490675
rna37253	LOC100489075
rna58681	LOC100488911
rna56429	LOC100488739
rna49464	LOC105946480
rna34263	Xetrov90000013m.g
rna32732	LOC100488126
rna47122	LOC100487968
rna9130	LOC108645643
rna53249	LOC105946420
rna44845	LOC108645644
rna36327	LOC100498444
rna30031	Xetrov90000020m.g
rna52363	LOC108645645
rna42583	ino80b
rna40154	wbp1
rna58928	mogs
rna46757	LOC108645646
rna40133	LOC108645647
rna63072	LOC100487178
rna56637	LOC100487329
rna42154	LOC105946479
rna37761	LOC101734240
rna34751	Xetrov90000030m.g
rna30220	Xetrov90000031m.g
rna33068	Xetrov90000032m.g
rna47345	LOC108645648
rna31462	Xetrov90000034m.g
rna34404	Xetrov90000035m.g
rna32653	Xetrov90000036m.g
rna31765	Xetrov90000036m.g
rna56525	LOC100488963
rna35064	LOC108645649
rna43561	LOC108645650
rna52025	LOC101732289
rna30744	Xetrov90000039m.g
rna34549	Xetrov90000040m.g
rna28917	Xetrov90000040m.g
rna50833	LOC108645651
rna60443	LOC108645652
rna38142	LOC108645653
rna39514	LOC108645654
rna32128	Xetrov90000045m.g
rna28400	Xetrov90000046m.g
rna34675	Xetrov90000047m.g
rna33477	Xetrov90000048m.g
rna28826	Xetrov90000049m.g
rna32543	Xetrov90000049m.g
rna39064	LOC101734200
rna39063	LOC101734200
rna39065	LOC101734200
rna27877	Xetrov90000049m.g
rna34155	Xetrov90000050m.g
rna29443	Xetrov90000051m.g
rna29435	Xetrov90000052m.g
rna28192	Xetrov90000053m.g
rna29415	LOC101731697
rna30179	Xetrov90000055m.g
rna62823	LOC108645655
rna32524	Xetrov90000058m.g
rna33354	Xetrov90000059m.g
rna56057	LOC101731518
rna33300	Xetrov90000061m.g
rna30356	Xetrov90000062m.g
rna49547	LOC101731462
rna43891	LOC100490840
rna27765	Xetrov90000065m.g
rna33851	Xetrov90000066m.g
rna31174	Xetrov90000066m.g
rna30863	Xetrov90000066m.g
rna31906	Xetrov90000067m.g
rna32508	Xetrov90000067m.g
rna29496	LOC100493512
rna31815	LOC101734408
rna31983	Xetrov90000070m.g
rna31165	Xetrov90000070m.g
rna32321	Xetrov90000071m.g
rna30499	Xetrov90000072m.g
rna36982	LOC105946401
rna28902	Xetrov90000074m.g
rna28210	Xetrov90000074m.g
rna60009	LOC100492345
rna46227	LOC101734131
rna33918	Xetrov90000076m.g
rna32405	Xetrov90000077m.g
rna31685	LOC101734014
rna30886	LOC101734014
rna39255	LOC100491345
rna29398	LOC101734505
rna33210	Xetrov90000081m.g
rna32149	Xetrov90000082m.g
rna35211	LOC108645656
rna49446	LOC108645657
rna30931	Xetrov90000088m.g
rna55703	LOC101734665
rna60221	LOC108645658
rna61200	LOC105946403
rna33546	Xetrov90000091m.g
rna33076	Xetrov90000092m.g
rna28475	Xetrov90000093m.g
rna31002	Xetrov90000094m.g
rna29917	Xetrov90000095m.g
rna51783	LOC108645659
rna50694	LOC108645660
rna30503	Xetrov90000098m.g
rna29391	Xetrov90000099m.g
rna57214	LOC100491223
rna34792	Xetrov90000101m.g
rna41017	LOC108645661
rna28832	Xetrov90000103m.g
rna31593	Xetrov90000103m.g
rna34027	Xetrov90000103m.g
rna42078	LOC105946409
rna40847	LOC108645662
rna28536	Xetrov90000106m.g
rna30853	Xetrov90000106m.g
rna62210	ctnna2
rna28859	Xetrov90000108m.g
rna31622	Xetrov90000109m.g
rna34488	Xetrov90000110m.g
rna52651	lrrtm1
rna33069	Xetrov90000112m.g
rna28447	Xetrov90000113m.g
rna32497	Xetrov90000115m.g
rna28011	Xetrov90000115m.g
rna30849	Xetrov90000116m.g
rna30763	Xetrov90000117m.g
rna33416	Xetrov90000117m.g
rna44479	suclg1
rna31571	Xetrov90000120m.g
rna30745	Xetrov90000121m.g
rna33385	Xetrov90000122m.g
rna28120	Xetrov90000123m.g
rna31178	Xetrov90000124m.g
rna33820	Xetrov90000125m.g
rna28678	Xetrov90000126m.g
rna31008	Xetrov90000127m.g
rna32020	Xetrov90000128m.g
rna32604	Xetrov90000130m.g
rna29541	Xetrov90000131m.g
rna30951	Xetrov90000132m.g
rna28824	Xetrov90000133m.g
rna29361	Xetrov90000134m.g
rna33580	Xetrov90000135m.g
rna27718	Xetrov90000136m.g
rna30150	Xetrov90000137m.g
rna29319	Xetrov90000138m.g
rna30332	LOC101734878
rna30653	Xetrov90000140m.g
rna31676	Xetrov90000141m.g
rna29010	Xetrov90000142m.g
rna30049	Xetrov90000143m.g
rna31943	Xetrov90000144m.g
rna32680	Xetrov90000144m.g
rna32355	Xetrov90000144m.g
rna31070	Xetrov90000145m.g
rna34676	Xetrov90000146m.g
rna31742	Xetrov90000147m.g
rna28026	Xetrov90000144m.g
rna45413	LOC100493148
rna32431	Xetrov90000148m.g
rna29451	Xetrov90000149m.g
rna32123	Xetrov90000151m.g
rna32288	Xetrov90000152m.g
rna33242	Xetrov90000153m.g
rna30364	Xetrov90000154m.g
rna28846	Xetrov90000154m.g
id329543	LOC101735285
rna33353	Xetrov90000155m.g
rna33864	Xetrov90000156m.g
rna31191	Xetrov90000157m.g
rna28175	Xetrov90000158m.g
rna21058	igkv3-20
id216192	igkv3-20
rna29677	Xetrov90000160m.g
rna49739	LOC101733471
rna49695	LOC101730318
rna31407	Xetrov90000162m.g
rna28706	Xetrov90000163m.g
id102259	LOC101733511
rna9898	LOC101733511
rna29665	Xetrov90000165m.g
rna34321	Xetrov90000166m.g
rna34320	Xetrov90000166m.g
rna28034	Xetrov90000168m.g
rna32664	Xetrov90000169m.g
rna33712	LOC101730802
rna31011	Xetrov90000171m.g
rna32032	Xetrov90000172m.g
rna49458	LOC108645663
rna30406	LOC101730318
rna29895	Xetrov90000174m.g
rna6729	LOC101730659
rna6728	LOC101730659
rna27865	Xetrov90000176m.g
rna34359	Xetrov90000177m.g
id73231	LOC101734979
rna7138	LOC101734979
id275828	LOC105945703
rna26891	LOC105945703
rna45166	LOC108645664
rna34665	Xetrov90000181m.g
rna30324	Xetrov90000182m.g
rna29104	Xetrov90000183m.g
rna51693	LOC101734941
rna40414	LOC108645665
rna29511	Xetrov90000185m.g
id16786	LOC101730301
rna1738	LOC101730301
rna32067	Xetrov90000187m.g
rna29261	Xetrov90000188m.g
rna57139	LOC108645666
rna31684	Xetrov90000190m.g
rna27983	Xetrov90000191m.g
rna43461	LOC101734878
rna24035	LOC101735157
id247205	LOC101735157
rna32034	Xetrov90000194m.g
rna31552	Xetrov90000195m.g
rna30111	Xetrov90000196m.g
rna31574	Xetrov90000197m.g
rna34125	Xetrov90000198m.g
rna34707	Xetrov90000194m.g
rna28878	Xetrov90000194m.g
rna28408	Xetrov90000199m.g
rna34881	Xetrov90000200m.g
rna29617	Xetrov90000194m.g
rna29495	Xetrov90000201m.g
rna33715	Xetrov90000201m.g
rna30828	Xetrov90000202m.g
rna28148	Xetrov90000203m.g
rna29849	Xetrov90000204m.g
rna33402	Xetrov90000205m.g
rna34245	Xetrov90000206m.g
rna31226	Xetrov90000207m.g
rna36336	LOC105946367
rna55706	LOC100496115
rna64021	adra1d
rna29714	Xetrov90000213m.g
rna32535	Xetrov90000214m.g
rna28432	LOC100495639
rna61342	LOC105946366
rna31197	Xetrov90000218m.g
rna40271	rnf24
rna40272	rnf24
rna45034	pank2
rna50068	mir103-2
rna50069	mir103-2
rna29140	Xetrov90000221m.g
rna27924	Xetrov90000222m.g
rna30695	Xetrov90000223m.g
rna39668	mavs
rna30807	Xetrov90000224m.g
rna40928	ptpra
rna40929	ptpra
rna28520	Xetrov90000229m.g
rna20687	gnrh2
