MA0478.1	FOSL2
MA0511.2	RUNX2
MA0911.1	HOXA11
MA0907.1	HOXC13
MA0672.1	NKX2-3
MA0663.1	MLX
MA0671.1	NFIX
MA0608.1	CREB3L2
MA0624.1	NFATC1
MA0877.1	BARHL1
MA0761.1	ETV1
MA0518.1	STAT4
MA1140.1	JUNB
MA0654.1	ISX
MA0665.1	MSC
MA0610.1	DMRT3
MA0679.1	ONECUT1
MA0676.1	NR2E1
MA0896.1	HMX1
MA0786.1	POU3F1
MA0611.1	DUX
MA0525.2	TP63
MA0628.1	POU6F1
MA0652.1	IRF8
MA0674.1	NKX6-1
MA0162.3	EGR1
MA0889.1	GBX1
MA0155.1	INSM1
MA0613.1	FOXG1
MA0778.1	NFKB2
MA0500.1	MYOG
MA0673.1	NKX2-8
MA0161.2	NFIC
MA0891.1	GSC2
MA0782.1	PKNOX1
MA0060.3	NFYA
MA0144.2	STAT3
MA0881.1	DLX4
MA1139.1	FOSL2,JUNB
MA0159.1	RARA,RXRA
MA0882.1	DLX6
MA0901.1	HOXB13
MA0506.1	NRF1
MA0774.1	MEIS2
MA0767.1	GCM2
MA0780.1	PAX3
MA1109.1	NEUROD1
MA0772.1	IRF7
MA0912.1	HOXD3
MA0840.1	CREB5
MA0647.1	GRHL1
MA0527.1	ZBTB33
MA0874.1	ARX
MA0650.1	HOXA13
MA0660.1	MEF2B
MA0666.1	MSX1
MA0669.1	NEUROG2
MA0032.2	FOXC1
MA0791.1	POU4F3
MA0602.1	ARID5A
MA0502.1	NFYB
MA0488.1	JUN
MA0641.1	ELF4
MA0036.3	GATA2
MA0142.1	POU5F1,SOX2
MA0526.2	USF2
MA0892.1	GSX1
MA0649.1	HEY2
MA0845.1	FOXB1
MA0600.2	RFX2
MA0145.3	TFCP2
MA0513.1	SMAD2,SMAD3,SMAD4
MA0068.2	PAX4
MA0104.4	MYCN
MA0504.1	NR2C2
MA1104.1	GATA6
MA0795.1	SMAD3
MA0157.2	FOXO3
MA0658.1	LHX6
MA0479.1	FOXH1
MA0645.1	ETV6
MA0154.3	EBF1
MA0515.1	SOX6
MA0662.1	MIXL1
MA1136.1	FOSB,JUNB
MA0163.1	PLAG1
MA0797.1	TGIF2
MA1133.1	JUN,JUNB
MA0664.1	MLXIPL
MA0131.2	HINFP
MA1134.1	FOS,JUNB
MA0643.1	ESRRG
MA0655.1	JDP2
MA0653.1	IRF9
MA0007.3	AR
MA0841.1	NFE2
MA0834.1	ATF7
MA0677.1	NR2F6
MA0783.1	PKNOX2
MA0137.3	STAT1
MA0151.1	ARID3A
MA0871.1	TFEC
MA0675.1	NKX6-2
MA1126.1	FOS,JUN
MA0156.2	FEV
MA0659.1	MAFG
MA0019.1	DDIT3,CEBPA
MA0517.1	STAT1,STAT2
MA0501.1	MAF,NFE2
MA0818.1	BHLHE22
MA0507.1	POU2F2
MA0830.1	TCF4
MA0122.2	NKX3-2
MA0770.1	HSF2
MA0648.1	GSC
MA0158.1	HOXA5
MA1121.1	TEAD2
MA0027.2	EN1
MA0832.1	TCF21
MA0651.1	HOXC11
MA0895.1	HMBOX1
MA0468.1	DUX4
MA1118.1	SIX1
MA0025.1	NFIL3
MA0135.1	LHX3
MA0646.1	GCM1
MA0858.1	RARB
MA0640.1	ELF3
MA1115.1	POU5F1
MA0141.3	ESRRB
MA0003.3	TFAP2A
MA0668.1	NEUROD2
MA0878.1	CDX1
MA0812.1	TFAP2B
MA0758.1	E2F7
MA0503.1	NKX2-5
MA0102.3	CEBPA
MA0908.1	HOXD11
MA0124.2	NKX3-1
MA1116.1	RBPJ
MA0886.1	EMX2
MA0143.3	SOX2
MA1127.1	FOSB,JUN
MA0470.1	E2F4
MA0512.2	RXRA
MA0781.1	PAX9
MA0035.3	GATA1
MA0823.1	HEY1
MA1137.1	FOSL1,JUNB
MA0794.1	PROX1
MA0848.1	FOXO4
MA0030.1	FOXF2
MA0052.3	MEF2A
MA0644.1	ESX1
MA0821.1	HES5
MA1135.1	FOSB,JUNB
MA0038.1	GFI1
MA0642.1	EN2
MA0796.1	TGIF1
MA0809.1	TEAD4
MA0117.2	MAFB
MA0100.3	MYB
MA0050.2	IRF1
MA0029.1	MECOM
MA0890.1	GBX2
MA0136.2	ELF5
MA0909.1	HOXD13
MA0006.1	AHR,ARNT
MA0152.1	NFATC2
MA0017.2	NR2F1
MA1123.1	TWIST1
MA0805.1	TBX1
MA0472.2	EGR2
MA0111.1	SPZ1
MA0510.2	RFX5
MA0609.1	CREM
MA0516.1	SP2
MA0595.1	SREBF1
MA0150.2	NFE2L2
MA0047.2	FOXA2
MA0844.1	XBP1
MA0463.1	BCL6
MA0480.1	FOXO1
MA0056.1	MZF1
MA0033.2	FOXL1
MA1138.1	FOSL2,JUNB
MA0856.1	RXRG
MA1120.1	SOX13
MA0831.2	TFE3
MA0108.2	TBP
MA1114.1	PBX3
MA0599.1	KLF5
MA1117.1	RELB
MA1125.1	ZNF384
MA0905.1	HOXC10
MA0465.1	CDX2
MA0720.1	SHOX2
MA0132.2	PDX1
MA0854.1	ALX1
MA0700.1	LHX2
MA0024.3	E2F1
MA0784.1	POU1F1
MA0833.1	ATF4
MA0004.1	ARNT
MA0486.2	HSF1
MA0105.4	NFKB1
MA1130.1	FOSL2,JUN
MA0113.3	NR3C1
MA0018.3	CREB1
MA1119.1	SIX2
MA1110.1	NR1H4
MA0897.1	HMX2
MA0827.1	OLIG3
MA0788.1	POU3F3
MA0461.2	ATOH1
MA0887.1	EVX1
MA0813.1	TFAP2B
MA0130.1	ZNF354C
MA0876.1	BSX
MA0072.1	RORA
MA0125.1	NOBOX
MA0002.2	RUNX1
MA0109.1	HLTF
MA0862.1	GMEB2
MA0467.1	CRX
MA0471.1	E2F6
MA0477.1	FOSL1
MA0698.1	ZBTB18
MA0597.1	THAP1
MA0822.1	HES7
MA0594.1	HOXA9
MA0046.2	HNF1A
MA1148.1	PPARA,RXRA
MA0107.1	RELA
MA1122.1	TFDP1
MA0031.1	FOXD1
MA0051.1	IRF2
MA0101.1	REL
MA0793.1	POU6F2
MA0820.1	FIGLA
MA1124.1	ZNF24
MA0048.2	NHLH1
MA1419.1	IRF4
MA0078.1	SOX17
MA0116.1	ZNF423
MA0041.1	FOXD3
MA0138.2	REST
MA1420.1	IRF5
MA0058.3	MAX
MA0785.1	POU2F1
MA0750.2	ZBTB7A
MA0069.1	PAX6
